Title,Genre,Run Time,Rating,Number of Votes,Year,Certificate,Synopsis,Actors,Image
Gen V,"Action, Adventure, Comedy",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,"From the world of ""The Boys"" comes ""Gen V,"" which explores the first generation of superheroes to know that their super powers are from Compound V. These heroes put their physical and moral boundaries to the test competing for the school's top ranking.","Jaz Sinclair, Chance Perdomo, Lizze Broadway, Maddie Phillips",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Halo,"Action, Adventure, Sci-Fi",60 min,7.2,"69,314",(2022– ),Certificate N/A,Aliens threaten human existence in an epic 26th-century showdown.,"Pablo Schreiber, Shabana Azmi, Natasha Culzac, Olive Gray",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Peacemaker,"Action, Adventure, Comedy",40 min,8.3,"126,305",(2022– ),Certificate N/A,"Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price.","John Cena, Danielle Brooks, Freddie Stroma, Jennifer Holland",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Supergirl,"Action, Adventure, Drama",43 min,6.2,"127,694",(2015–2021),Certificate N/A,The adventures of Superman's cousin and her own superhero career.,"Melissa Benoist, Chyler Leigh, David Harewood, Katie McGrath",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Enterprise,"Action, Adventure, Drama",60 min,7.5,"56,897",(2001–2005),Certificate N/A,"A century before Captain Kirk's five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation.","Scott Bakula, John Billingsley, Jolene Blalock, Dominic Keating",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars: The Bad Batch,"Animation, Action, Adventure",Run Time N/A,7.8,"46,099",(2021– ),Certificate N/A,The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.,"Ming-Na Wen, Dee Bradley Baker, Michelle Ang, Noshir Dalal",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Hunter x Hunter,"Animation, Action, Adventure",24 min,9.0,"119,191",(2011–2014),Certificate N/A,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","Issei Futamata, Megumi Han, Cristina Valenzuela, Mariya Ise",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Vikings: Valhalla,"Action, Adventure, Drama",51 min,7.3,"52,990",(2022– ),Certificate N/A,"Follow-up series to 'Vikings' set 100 years later and focusing on the adventures of Leif Erikson, Freydis, Harald Hardrada, and the Norman King William the Conqueror.","Sam Corlett, Leo Suter, Frida Gustavsson, Jóhannes Haukur Jóhannesson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Battlestar Galactica,"Action, Adventure, Drama",44 min,8.7,"171,736",(2004–2009),Certificate N/A,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.","Edward James Olmos, Mary McDonnell, Jamie Bamber, James Callis",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Recruit,"Action, Adventure, Crime",55 min,7.4,"42,166",(2022– ),Certificate N/A,Follows a lawyer at the CIA who gets entangled in dangerous international power politics when a former asset threatens to expose the nature of her long-term relationship with the agency.,"Noah Centineo, Fivel Stewart, Laura Haddock, Aarti Mann",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Black Sails,"Action, Adventure, Drama",56 min,8.2,"109,554",(2014–2017),Certificate N/A,"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""","Jessica Parker Kennedy, Toby Stephens, Hannah New, Zach McGowan",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Live to 100: Secrets of the Blue Zones,"Documentary, Adventure",157 min,8.1,680,(2023),Certificate N/A,Travel around the world with author Dan Buettner to discover five unique communities where people live extraordinarily long and vibrant lives.,"Star:
Dan Buettner",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Percy Jackson and the Olympians,"Action, Adventure, Family",60 min,Rating N/A,Votes N/A,(2023– ),Certificate N/A,Demigod Percy Jackson leads a quest across America to prevent a war among the Olympian gods.,"Walker Scobell, Aryan Simhadri, Leah Jeffries, Threnody Tsai",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
His Dark Materials,"Adventure, Drama, Family",60 min,7.8,"81,252",(2019–2022),Certificate N/A,A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.,"Dafne Keen, Kit Connor, Ruth Wilson, Amir Wilson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Boku no hîrô akademia,"Animation, Action, Adventure",24 min,8.3,"72,660",(2016– ),Certificate N/A,A superhero-admiring boy without any powers enrolls in a prestigious hero academy and learns what it really means to be a hero.,"Daiki Yamashita, Justin Briner, Nobuhiko Okamoto, Clifford Chapin",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"Magnum, P.I.","Action, Adventure, Crime",48 min,7.5,"27,783",(1980–1988),Certificate N/A,The adventures of a Hawaii based private investigator.,"Tom Selleck, John Hillerman, Roger E. Mosley, Larry Manetti",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Legacies,"Adventure, Drama, Fantasy",45 min,7.2,"35,084",(2018–2022),Certificate N/A,"Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world.","Danielle Rose Russell, Aria Shahghasemi, Quincy Fouse, Matthew Davis",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Legend of Vox Machina,"Animation, Action, Adventure",30 min,8.4,"36,644",(2022– ),Certificate N/A,"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave.","Laura Bailey, Taliesin Jaffe, Ashley Johnson, Matthew Mercer",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Iron Fist,"Action, Adventure, Crime",55 min,6.4,"136,388",(2017–2018),Certificate N/A,A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.,"Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Stargate: Atlantis,"Action, Adventure, Drama",44 min,8.1,"69,812",(2004–2009),Certificate N/A,"An international team of scientists and military personnel discover a Stargate network in the Pegasus Galaxy and come face-to-face with a new, powerful enemy: The Wraith.","Joe Flanigan, Rachel Luttrell, David Hewlett, Jason Momoa",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Gravity Falls,"Animation, Adventure, Comedy",23 min,8.9,"124,536",(2012–2016),Certificate N/A,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","Kristen Schaal, Jason Ritter, Alex Hirsch, Linda Cardellini",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Chainsaw Man,"Animation, Action, Adventure",25 min,8.4,"43,251",(2022– ),Certificate N/A,"Following a betrayal, a young man left for dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils.","Kikunosuke Toya, Ryan Colt Levy, Tomori Kusunoki, Shogo Sakata",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Doctor Who,"Adventure, Drama, Family",45 min,8.4,"38,396",(1963–1989),Certificate N/A,"The adventures in time and space of the Doctor, a Time Lord who changes appearance and personality by regenerating when near death, and is joined by companions in battles against aliens and other megalomaniacs.","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sweet Tooth,"Action, Adventure, Drama",50 min,7.8,"63,759",(2021– ),Certificate N/A,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,"Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Tales of the Jedi,"Animation, Short, Action",15 min,8.2,"30,355",(2022– ),Certificate N/A,It showcases animated shorts that feature Jedi from the prequel era.,"Corey Burton, Ashley Eckstein, Dee Bradley Baker, Ian McDiarmid",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Babylon 5,"Action, Adventure, Drama",45 min,8.4,"33,516",(1993–1998),Certificate N/A,"In the mid 23rd century, the Earth Alliance space station Babylon 5, located in neutral territory, is a major focal point for political intrigue, racial tensions and various wars over the course of five years.","Mira Furlan, Richard Biggs, Stephen Furst, Andreas Katsulas",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
She-Hulk: Attorney at Law,"Action, Adventure, Comedy",35 min,5.3,"182,343",(2022),Certificate N/A,"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered Hulk.","Tatiana Maslany, Ginger Gonzaga, Malia Arrayah, Jameela Jamil",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Moon Knight,"Action, Adventure, Fantasy",287 min,7.3,"252,787",(2022),Certificate N/A,Steven Grant discovers he's been granted the powers of an Egyptian moon god. But he soon finds out that these newfound powers can be both a blessing and a curse to his troubled life.,"Oscar Isaac, Ethan Hawke, May Calamawy, Michael Benjamin Hernandez",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dragon Ball Z,"Animation, Action, Adventure",24 min,8.8,"140,630",(1989–1996),Certificate N/A,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.","Doc Harris, Christopher Sabat, Scott McNeil, Sean Schemmel",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Doom Patrol,"Action, Adventure, Comedy",60 min,7.8,"56,996",(2019–2023),Certificate N/A,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,"Diane Guerrero, April Bowlby, Matt Bomer, Brendan Fraser",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Black Clover,"Animation, Action, Adventure",24 min,8.3,"30,825",(2017–2021),Certificate N/A,"Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.","Dallas Reid, Jill Harris, Cris George, Christopher Sabat",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Fallout,"Action, Adventure, Drama",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,Adaptation of the video game set in a post apocalyptic America.,"Moises Arias, Johnny Pemberton, Aixa Kendrick, Walton Goggins",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Lonesome Dove,"Adventure, Drama, Western",384 min,8.7,"24,661",(1989),Certificate N/A,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,"Robert Duvall, Tommy Lee Jones, Danny Glover, Diane Lane",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Hagane no renkinjutsushi,"Animation, Action, Adventure",24 min,9.1,"184,956",(2009–2010),Certificate N/A,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Kent Williams, Iemasa Kayumi, Matthew Leonhart, Vic Mignogna",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
JoJo no Kimyô na Bôken,"Animation, Action, Adventure",24 min,8.5,"30,616",(2012– ),Certificate N/A,"The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives.","David Vincent, Matthew Mercer, Daisuke Ono, Unshô Ishizuka",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ark II,"Adventure, Family, Sci-Fi",25 min,6.9,490,(1976–1979),Certificate N/A,"Three young scientists travel around the country in the 25th century after the world has been ravaged by pollution. In their hi-tech RV (called Ark II), they study the land and help out those in need.","Terry Lester, Jean Marie Hon, José Flores, Moochie",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Terror,"Adventure, Drama, Horror",60 min,7.9,"48,164",(2018–2019),Certificate N/A,"Supernatural, semihistorical, horror anthology series, where each season is inspired by a different infamous or mysterious real life historical tragedy.","Jared Harris, Derek Mio, Tobias Menzies, Kiki Sukezane",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
My Dad the Bounty Hunter,"Animation, Action, Adventure",22 min,7.2,"1,261",(2023– ),Certificate N/A,Follows two children as they discover that their father is the toughest bounty hunter in all the galaxy when they accidentally hitch a ride into space.,"Laz Alonso, Priah Ferguson, Jecobi Swain, Patrick Harpin",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Pacific,"Action, Adventure, Drama",530 min,8.3,"119,063",(2010),Certificate N/A,"The Pacific Theatre of World War II, as seen through the eyes of several young Marines.","James Badge Dale, Joseph Mazzello, Jon Seda, Ashton Holmes",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Avatar: The Last Airbender,"Action, Adventure, Comedy",Run Time N/A,Rating N/A,Votes N/A,(2024– ),Certificate N/A,"Live-action adaptation of the animated series centering on the adventures of Aang and his friends, who fight to save the world by defeating the Fire-Nation.","Daniel Dae Kim, Tamlyn Tomita, Ken Leung, Paul Sun-Hyung Lee",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Legends of Tomorrow,"Action, Adventure, Drama",42 min,6.8,"108,361",(2016–2022),Certificate N/A,"Time-traveling rogue Rip Hunter must recruit a ragtag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Nick Zano",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The End of the F***ing World,"Adventure, Comedy, Crime",25 min,8.0,"208,797",(2017–2019),Certificate N/A,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.","Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Stand,"Adventure, Drama, Fantasy",510 min,5.7,"28,652",(2020–2021),Certificate N/A,"After the world is in ruins, due to a man-made plague, a battle of Biblical proportions ensues between the survivors.","Whoopi Goldberg, Alexander Skarsgård, James Marsden, Odessa Young",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Boruto: Naruto Next Generations,"Animation, Action, Adventure",23 min,6.5,"26,380",(2017– ),Certificate N/A,"Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's shadow.","Yûko Sanpei, Kokoro Kikuchi, Amanda Céline Miller, Ryûichi Kijima",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Merlin,"Adventure, Drama, Fantasy",45 min,7.9,"85,176",(2008–2012),Certificate N/A,"These are the brand new adventures of Merlin, the legendary sorcerer as a young man, when he was just a servant to young Prince Arthur on the royal court of Camelot, who has soon become his best friend, and turned Arthur into a great king and a legend.","John Hurt, Colin Morgan, Bradley James, Richard Wilson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
